V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116
0.02771485,-0.39075372,0.040002942,-0.02161976,0.40005876,0.33261496,0.084398866,0.10891211,0.41308083,0.67841673,-0.026377616,0.09041385,0.044765813,0.13162448,0.3563171,0.90317664,0.35858724,0.072774664,0.099914074,0.096032709,0.8854956,1.0628315,0.0052309632,0.046009079,0.19465116,0.13214709,0.21778989,0.16656561,0.28619337,0.46583825,0.045081645,0.047906101,0.072002769,0.026936933,0.0029174685,-0.13609707,0.47305636,0.2415989,0.41309649,0.26244074,0.41502763,0.40086827,0.21442509,0.084249903,-0.070146639,-0.10099964,0.25228992,0.22482739,-0.17376737,0.015635964,-0.16840689,-0.32670024,0.10859152,-0.033490745,0.30421752,0.13695495,0.040533714,-0.40052846,-0.029535055,0.15710348,0.26991546,0.37064058,0.27480656,0.30117318,0.1650815,0.04748752,-0.12353426,-0.10695326,-0.0093434453,0.10724434,0.77696425,0.75131017,0.73920488,0.36748701,0.82800978,0.40506911,1.016457,0.95782101,1.200184,0.54479706,1.0746741,0.89800557,1.0159593,0.95251197,0.23764388,0.15710257,0.78620565,0.13285188,0.37767583,0.2020351,0.58957624,0.56352842,0.17108653,0.13538823,0.95442003,0.80340108,0.62133002,0.91447878,0.77941638,0.86318529,0.38155222,0.25634086,0.3989678,0.56862217,0.52971566,0.51741928,0.57691598,0.58201516,0.99813867,1.202976,0.91119432,0.98965025,0.57893586,0.6993289,0.58938181,0.91351798
0.099392414,-0.22163329,-0.1041106,-0.18704653,-0.32858476,-0.28119856,-0.038101872,-0.054851755,-0.12238109,-0.18274729,0.095005572,0.048699073,-0.017260738,-0.0074234381,-0.20596592,-0.24314103,0.14889478,-0.15649249,-0.21804996,-0.26156206,-0.36596625,-0.18089784,-0.034406234,-0.071608260000000007,-0.27012792,-0.15053748,-0.3191938,-0.32700029,0.060205802,-0.071855202,-0.10122909,-0.23544148,-0.35683137,-0.33227798,-0.28472325,-0.25437787,0.16192643,0.075585164,-0.18164441,0.043060787,0.53117275,0.27432394,-0.64509529,-0.13302036,-0.64277339,-0.37408718,-0.38942936,-0.21074659,-0.23851822,-0.19266421,-0.073056921,-0.22044735,-0.12723821,-0.14193249,-0.1640724,-0.07644479,-0.14013851,-0.58137852,-0.4198173,-0.64905536,-0.042946942,0.02104646,-0.069053233,-0.068387449,-0.03299633,-0.076609157,-0.74976227,-0.71037143,-0.36232305,-0.88296074,0.12716359,0.15816425,0.37995276,0.3058117,0.11152706,-0.023938693,0.2535972,0.19376118,0.18705455000000001,0.17380922,0.37196648,0.15462127,0.062952839,0.072313029,-0.12084062,-0.12529697,-0.12836327,-0.19982049,-0.1333117,-0.10205736,-0.16665922,-0.058298899,0.067558989,0.040770181,-0.033790402,-0.014911259,-0.2830947,0.20018986,-0.17271754,0.12455784,-0.2394366,-0.14026052,-0.18514733,-0.16209947,0.020225998,0.035041714,-0.71541214,-0.29744503,-0.078359339,0.013733127,-0.079781942,0.15451014,0.1266619,0.021170866,0.090510897,0.27612117
0.28486899,0.20601109,-0.035165329,0.14553927,-0.07194832,0.11446463,-0.013207383,0.36318181,-0.084848013,0.096158061,0.029548286,0.22347166,0.034837872,0.22776429,-0.17659059,0.0024922341,0.37652981,0.21187326,0.62733084,0.51619282,-0.54079515,-0.1822621,-0.12007938,0.10451949,-0.2705546,0.026910067,-0.20241028,0.023519514,0.36339295,0.21313375,-0.066862091,0.2541914,0.13439313,0.11562259,-0.33462512,-0.074260578,-0.12061569,-0.061802424,-0.33882104,-0.53656581,0.25662233,-0.48325127,-0.20855151,-0.016986966,-0.082822241,-0.01176171,0.064853996,0.21926588,0.0046800077,0.13506982,0.034836918,0.17362729,0.28205645,0.32691082,0.10174721,-0.026288204,0.376987,0.12080682,-0.047876984,0.12098314,0.10019681,0.5389258,0.18877542,0.21292048,-0.014680129,0.26722661,-0.19207575,-0.076986518,0.52408516,0.44469096,0.69944018,0.70674396,0.41154182,0.2036675,0.046298124,-0.11654951,0.65677589,0.53428066,0.60531369,0.21788764,0.79603815,0.42145357,0.11185784,0.03788878,-0.045072645,-0.11093251,-0.49083024,-0.53443998,-0.01544483,-0.10301089,0.36064181,0.30099058,0.75836506,0.17543794,0.23804464,0.27847332,0.34072155,0.55602622,0.55756539,0.6400212,0.20780113,0.028713539,0.30148655,-0.16836105,0.37883699,-0.0014908239,-0.18899611,-0.45999227,0.59356421,0.79898885,0.98810661,0.83756465,-0.12585509,0.43684438,0.29526517,0.38922998
0.29713677,0.14256433,-0.054199394,0.067490719,0.057234656,0.17532471,0.048245037,0.28240496,0.15811562,0.3235981,0.20106693,0.23009602,0.10978069,0.23456512,0.095541719,0.26967242,0.72572541,0.39770974,0.40499401,0.30416979,-0.16067964,-0.14368813,-0.051695131,0.059670836,-0.27393848,-0.0023505464,-0.07392744,-0.051605113,0.28726393,0.21814214,0.003186211,0.09800379,0.067384258,0.13681275,-0.35237995,-0.21091026,-0.018618703,0.043178849,-0.089725241,-0.027634109,0.011551458,0.077866472,0.17718658,0.17486365,0.10306419,0.10154791,0.13123654,0.14810118,0.012255475,0.024307989,0.030456098,0.009547458,0.024699,0.096200507,0.001070248,0.018085949,0.25326118,0.12681641,-0.048698226,0.051719755,0.17505321,0.74828863,0.31478667,0.31146111,0.021868903,0.40209292,-0.1767523,-0.20777392,0.26908381,-0.036289429,0.067172341,0.091317445,0.30502689,0.22447639,0.22536436,0.12131433,0.24253826,0.14261988,0.93156558,0.76173556,1.0069308,0.80793053,0.3535623,0.33903348,-0.01529282,0.16016603,-0.10490468,0.097146854,-0.094027653,0.076589093,0.1043486,0.086569041,0.19034177,0.02600407,0.0057960101,-0.041998543,0.070600156,0.22369261,0.19991428,0.24206463,0.23453858,-0.12388414,0.045265375,-0.18260032,-0.12383591,-0.31829542,-0.29810105,-0.3069545,0.1160745,0.19790656,0.23714237,0.35570449,0.25441888,0.03594923,-0.013130791,-0.01939496
0.052565809,-0.25763327,-0.20324451,-0.053354882,-0.31464517,-0.34267914,-0.096634425,0.079839721,-0.30594794,-0.24760374,0.17846297,0.47361448,0.17347646,0.32334122,-0.10370621,0.10937273,0.21094321,0.047212381,0.19700836,0.24018745,-0.54917026,-0.62448511,-0.25815639,-0.19767305,-0.58781379,-0.50048339,-0.41684192,-0.45253544,0.18243338,0.10597874,-0.20711963,-0.044033647,-0.54595512,-0.38128436,-0.98964894,-0.70390022,0.0085835084,-0.20799226,-0.17272718,-0.29999179,0.035102151,-0.39476511,-0.10128448,-0.16921629,-0.29835381,-0.21409248,-0.21956286,-0.20809102,-0.31213339,-0.2210055,-0.26141077,-0.23258846,-0.14327136,-0.20313884,-0.18142581,-0.1726356,-0.15691967,-0.45781016,-0.38652743,-0.45839602,-0.053766841,0.36134975,0.4173038,0.42551643,-0.35508546,-0.089965872,-0.71457016,-0.61298525,-0.21553984,-0.36445609,0.024167625,0.012567188,0.11312313,0.072334096,0.12235089,0.03757407,-0.0087070018,-0.043691251,0.42970669,0.32427707,0.55264771,0.74585009,0.12301596,0.3119863,0.015338719,0.012399107,-0.19815084,-0.052638717,-0.24741371,-0.2022849,0.28223258,0.084560901,0.034102041,-2.4101138e-4,0.11020083,-0.0030782768,-0.07551302,-0.082898997,0.092256378,0.16692615,0.1552913,0.085250869,0.081568159,0.039229318,-0.045216393,-0.15431414,-0.19416837,-0.29271039,0.046505252,0.0250978,0.12030096,0.15309444,-0.0076835901,-0.15709881,-0.12299435,0.091996793
-0.029422931,-0.2996932,-0.084142771,0.11523621,-0.05060702,0.23704024,1.2641679e-4,0.38006383,0.054859802,0.57037693,0.32773978,0.65982568,0.11443077,0.37602636,0.09217564,0.40921518,0.85002685,0.41177732,0.20686212,0.2300972,0.20854327,0.36998771,0.17510742,0.21419489,-0.79998416,-0.37876619,-0.36071017,-0.23526499,0.3695924,0.42356697,0.34240687,0.31494379,0.014226109,0.1563261,-0.63385618,-0.63403559,-0.39873996,-0.144803,-0.16600112,-0.013562735,-0.13949995,0.010767169,-1.5245134,-1.3135465,-1.2425724,-0.94986308,-1.1509879,-1.0809226,-0.88165346,-0.71947563,-0.61222613,-0.94727767,-0.81197253,-1.0350522,-0.24706744,-0.66169718,-8.6016953e-6,-0.26726857,-0.39753014,-0.35978839,0.076938741,0.49087876,0.29976121,0.78200328,-0.36783874,0.076580428,-0.70244521,-0.66876352,-0.13986129,-0.39138934,-0.052075535,0.080093086,-0.084999651,-0.047865417,0.031766957,0.030770572,0.084766135,0.070696637,0.71499223,0.60542464,1.1546706,1.1191051,0.58261633,1.0444508,0.039403006,0.18396176,0.11246563,0.13317502,-0.15266661,0.096055217,-0.0048112525,-0.42188406,-0.22373407,-0.38406366,-0.14877009,0.010026017,-0.45339884,-0.45703113,-0.38739063,-0.15365712,0.11593819,-0.079316586,-0.0043057464,0.02692423,-0.29434937,-0.26575048,-0.049894255,-0.1512634,0.10677457,-0.4145952,-0.70398062,-0.64435518,-0.46771806,-0.20848732,-0.40048781,-0.49229157
0.39004469,-0.19446535,-0.20715183,-0.089844845,0.21054558,0.41271493,-0.25034568,-0.20380851,0.19697879,0.26581228,0.037257502,0.13361508,-0.18657652,-0.023509383,0.17721558,0.093547069,0.21681169,0.30017388,0.2045373,0.11498046,0.18480128,0.48489383,-0.3708092,-0.18996331,-0.17328352,-0.34861755,0.21352962,-0.1078429,-0.017171957,0.027371518,-0.35347486,-0.18160883,-0.23213309,-0.2460452,-0.23149112,-0.36065492,-0.012729168,-0.13767911,0.050213128,-0.11056153,0.10549213,-0.34749606,-0.24244004,-0.10528111,-0.21523944,-0.16798466,-0.32417598,0.069359884,-0.24861775,-0.1826297,-0.20574699,-0.20472594,-0.10218843,-0.13279648,-0.086079508,-0.074208446,0.50899661,-0.079786837,-0.15396537,-0.050141931,0.11242343,0.19905189,0.45586789,0.25105448,-0.14027127,-0.10395527,-0.34716129,-0.37140033,0.0067659616,-0.32772017,0.044922173,0.037459496,0.17720348,0.16334666,0.16760056,0.024494139,0.16261911,-0.10260522,0.91855302,0.51369655,0.67371351,0.61383256,0.19711599,-0.060845435,-0.11539074,-0.1201589,0.16060947,0.042967603,-0.081030242,-0.04280746,-0.079960801,-0.065110371,-0.34468329,-0.40414649,0.037336864,-0.055135518,-0.02592741,0.52545387,0.080978341,0.36375822,0.13939055,-0.032560144,0.20736697,0.18988919,-0.02754277,-0.10034121,0.0065550208,0.39422278,-0.078536689,-0.12644187,0.09138146,0.30587654,-0.30448288,-0.29697195,-0.30179358,-0.4066447
0.042076573,-0.4413695,-0.2693499,-0.44468942,-0.36699142,-0.48953807,-0.16906466,-0.58327812,-0.10365109,-0.59909147,-0.41205895,-0.68514106,-0.36045881,-0.73933148,-0.059273127,-0.67235315,-0.11036575,-0.29724242,-0.038163381,-0.38370979,-0.018942997,-0.0010888446,-0.46696824,-0.456319,-0.60378027,-0.51290575,0.01011534,-0.21343654,-0.1976205,-0.35299894,-0.24303225,-0.35845363,-0.34160081,-0.51875621,-0.60551733,-0.81679368,-0.47513056,-0.5750241,-0.41970915,-0.69694799,-0.2722256,-0.81349373,-0.67296714,-0.52432483,-0.78518522,-0.69327348,-0.52689254,-0.60713971,-0.29569033,-0.24176559,-0.21945291,-0.32076713,-0.07473278,-0.63190079,-0.13560925,-0.41547915,0.14934909,-0.41269916,-0.090635188,-0.36054653,-0.049689706,-0.4508225,-0.029310539,-0.34657422,-0.18777093,-0.46470787,-0.52140272,-0.81309414,-0.1229847,-0.61591756,-0.15069914,-0.47126549,-0.12355478,-0.33161791,-0.18708687,-0.34488861,-0.30413139,-0.66720855,0.076988533,-0.14149684,0.14724527,-0.11893283,0.33673517,-0.55016616,0.11512161,-0.3796691,0.41259867,-0.29386324,0.1286107,-0.73000506,-0.22798695,-0.38651225,-0.13708919,-0.47618049,-0.92405656,-0.81441358,-0.711,-0.51708496,-0.26919279,-0.213961,0.0096434588,-0.50611371,-0.085354201,-0.19147321,-0.27349198,-0.65079498,-0.15632474,-1.0561599,-0.36337024,-1.2339665,-1.9713507,-0.34882614,-0.36460251,-0.38686192,-0.64757419,-0.23490017
0.21262881,0.079644471,-0.0073666573,0.17077777,0.68760172,0.48528582,0.29165527,0.82520413,0.92154914,0.72153842,0.72214991,0.87980121,0.52973449,1.0183408,0.41419011,0.51229969,0.45391268,0.51153654,0.13816082,0.059925895,-0.50516498,-0.466691,0.073455136,0.10615203,0.15217616,0.22396532,0.038259368,-0.11691339,0.53332889000000006,0.81599987,0.45401901,0.44215259,0.21975648,0.34915614,0.3158235,0.71201336,0.20546368,0.25325212,0.26242369,0.25579685,0.08945547,0.32290885,0.33929774,0.3285965,0.31999189,0.29926103,0.16987707,0.38133505,0.309156,0.16079199,0.31185129,0.10304635,0.3559299,0.13882097,0.31281425,0.34121597,0.072755713,0.084634155,0.77844551,0.92621011,0.71657419,1.0142633,0.95634222,0.8267296,0.1658475,0.5196178,0.56940383,0.68417299,-0.056913689,0.073682509,-0.22880636,0.20636478,0.20174626,0.27562377,0.46340466,0.18641879,0.39229119,0.1572116,0.46132323,1.1447527,0.47153343,0.85118476,0.64151984,0.9206965,0.17963497,0.18728974,0.26859859,-0.053997666,0.186704,0.19634474,0.98416179,1.0453211,0.78762501,0.41590355,0.47645532,0.57465938,0.62974167,0.71043473,1.0645873,1.1800094,0.65509957,0.56590462,0.56800759,0.53567851,0.63111484,0.54564056,0.75149655,0.46474293,0.22174419,0.80638611,0.7737574,1.3866374,0.99878216,1.0132061,0.91006732,0.9485001
0.28170094,0.089313049,0.087082822,0.0032416433,-0.070832748,0.0018437114,0.12424907,0.089090481,0.13192629,0.039286844,0.18515871,0.25520617,0.19396916,0.26274222,0.054407056,-0.030318499,0.32971436,0.32632092,0.34245402,0.31237601,0.14676602,0.026238143,-0.074095666,-0.091801122,-0.3885594,-0.32500196,-0.47749332,-0.30990428,0.20523541,0.21309239,-0.052105103,-0.036904618,-0.01999671,0.031318229,-0.39788216,-0.41724336,-0.050831892,-0.16199367,-0.046896039,-0.057360396,0.058158295,-0.0889569,0.1870725,0.199297,0.062355747,0.13977855,0.13234043,0.26595378,0.036842685,0.079591751,0.056230627,0.038158122,0.11741572,0.17074507,-0.027432763,0.092849746,0.29677537,4.2329729e-4,-0.12843528,0.018794872,0.17715617,0.080298483,0.072718911,0.1508808,-0.17143323,-0.27090135,-0.14036505,-0.073102701,0.10858554,-0.068048082,0.19672009,0.14119099,0.35815281,0.25345597,0.25614516,0.20912028,0.25935799,0.22266382,0.87610525,0.91544235,0.60846508,0.5736776,-0.023559753,0.068896003,0.022516679,0.026602556,-0.23995754,-0.1398219,-0.0097910045,0.046106301,0.25475584,0.3703464,0.18228698,0.32187249,0.39786248,-0.088787742,0.038007034,0.36253208,0.27860621,0.55174205,0.1430337,0.42916967,0.1857529,0.33312732,0.033386283,0.10192919,0.032356119,0.29361296,0.54245138,0.44256507,0.27958536,0.5912607,0.44671381,0.32133043,0.0071975254,0.37649915
